stimFile,stimType,stimId,centerFreqHz,fftCsvPath
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_sham_1.wav,sham,sham_1,630.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_sham_1_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_sham_2.wav,sham,sham_2,500.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_sham_2_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_sham_3.wav,sham,sham_3,500.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_sham_3_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_stim_1.wav,stim,stim_1,630.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_stim_1_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_stim_2.wav,stim,stim_2,315.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_stim_2_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_stim_3.wav,stim,stim_3,250.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_stim_3_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_stim_4.wav,stim,stim_4,200.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_stim_4_FFT.csv
C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\WAV\20260225_135445_stim_5.wav,stim,stim_5,250.0,C:\Users\vitam\Downloads\OUTPUT\RUN_20260225_135445\PHASEA_FileAcquisition\FFT_CSV\20260225_135445_stim_5_FFT.csv
