run_id,stim_id,stim_type,Frequency_Hz,MagL_dBFS,MagR_dBFS,MagMono_dBFS,MagSide_dBFS,PhaseL_rad,PhaseR_rad,IPD_rad,NearCenterBand,monauralCue_dB
20260225_165640,sham_1,sham,0.0,-55.71946628738675,-55.71946628738675,-55.71946628738675,-400.0,3.141592653589793,3.141592653589793,0.0,0,0.0
20260225_165640,sham_1,sham,1.3333333333333333,-75.40590059651507,-75.40590059651507,-75.40590059651507,-400.0,0.3051538549423473,0.3051538549423473,0.0,0,0.0
20260225_165640,sham_1,sham,2.6666666666666665,-59.86322549718579,-59.86322549718579,-59.86322549718579,-400.0,-0.26805239273556297,-0.26805239273556297,0.0,0,0.0
20260225_165640,sham_1,sham,4.0,-69.55275674611896,-69.55275674611896,-69.55275674611896,-400.0,-2.4197023914847775,-2.4197023914847775,0.0,0,0.0
20260225_165640,sham_1,sham,5.333333333333333,-50.37763350051832,-50.37763350051832,-50.37763350051832,-400.0,2.538202017317756,2.538202017317756,0.0,0,0.0
20260225_165640,sham_1,sham,6.666666666666666,-46.05673002978713,-46.05673002978713,-46.05673002978713,-400.0,-0.49785768520703105,-0.49785768520703105,0.0,0,0.0
20260225_165640,sham_1,sham,8.0,-53.228501306335076,-53.228501306335076,-53.228501306335076,-400.0,2.319934646780572,2.319934646780572,0.0,0,0.0
20260225_165640,sham_1,sham,9.333333333333332,-59.28552134057904,-59.28552134057904,-59.28552134057904,-400.0,2.672778841903399,2.672778841903399,0.0,0,0.0
20260225_165640,sham_1,sham,10.666666666666666,-50.299981799515166,-50.299981799515166,-50.299981799515166,-400.0,-0.9473940553813527,-0.9473940553813527,0.0,0,0.0
20260225_165640,sham_1,sham,12.0,-47.61968438348227,-47.61968438348227,-47.61968438348227,-400.0,1.9732815200324114,1.9732815200324114,0.0,0,0.0
20260225_165640,sham_1,sham,13.333333333333332,-46.786011612403996,-46.786011612403996,-46.786011612403996,-400.0,-1.726160948263193,-1.726160948263193,0.0,0,0.0
20260225_165640,sham_1,sham,14.666666666666666,-48.14570470952155,-48.14570470952155,-48.14570470952155,-400.0,1.2115409735634475,1.2115409735634475,0.0,0,0.0
20260225_165640,sham_1,sham,16.0,-52.82453719373825,-52.82453719373825,-52.82453719373825,-400.0,-2.0112174641649663,-2.0112174641649663,0.0,0,0.0
20260225_165640,sham_1,sham,17.333333333333332,-52.352504464524266,-52.352504464524266,-52.352504464524266,-400.0,0.48723022989007053,0.48723022989007053,0.0,0,0.0
20260225_165640,sham_1,sham,18.666666666666664,-55.05633663493747,-55.05633663493747,-55.05633663493747,-400.0,-2.50853076016743,-2.50853076016743,0.0,0,0.0
20260225_165640,sham_1,sham,20.0,-56.614623962192645,-56.614623962192645,-56.614623962192645,-400.0,2.0914817763233766,2.0914817763233766,0.0,0,0.0
