Frequency (Hz),Amplitude_dBFS,Phase_radians
71.5,-275.27548597908327,-1.531077870193831
72.0,-263.8395125150581,2.5394495793726906
72.5,-269.20623012935863,-2.9523902201342955
73.0,-295.0963670423426,-0.2901861667693711
73.5,-262.1296879973723,-2.743500370406614
74.0,-260.8717942008629,-0.6894710205257507
74.5,-265.60067762011323,3.0401854506818657
75.0,-268.46355700259215,-1.1956321694045617
75.5,-263.5084126222888,2.621351291003698
76.0,-277.4984696166337,-1.6780148377717388
76.5,-269.7544517486009,-0.5928992100965684
77.0,-266.7543699594972,0.10498663462629344
77.5,-260.74003865825756,-0.9318086648150965
78.0,-262.54133569252934,-1.3960987500646636
78.5,-261.7155813974698,-2.763778564814793
79.0,-264.2487943960876,1.4600300119138419
79.5,-269.6957187523154,-1.0477279610466044
80.0,-263.3777598689516,-2.3945969716754463
80.5,-265.4727651679147,2.2624031784656142
81.0,-257.45722846458654,2.3006266533819137
81.5,-253.81535639730095,1.0890486212736643
82.0,-256.2736043003465,-0.02871359048704503
82.5,-255.20574977060545,1.7725412765107518
83.0,-258.3429427599497,-0.9933281274445783
83.5,-258.95700098888443,-0.958072253496058
84.0,-259.4543998252018,-1.724058292545315
84.5,-251.09797169213533,1.561973179729274
85.0,-252.6315532970167,-0.41160451994259295
85.5,-255.36993196087104,2.2567504228506796
86.0,-246.47291295701115,0.4556258725391081
86.5,-246.06659897367928,1.2974200080655531
87.0,-256.53877954883717,-1.0787022817873577
87.5,-247.88924825831964,1.7552173582375417
88.0,-249.41917988583353,-1.8713098790698357
88.5,-256.2475895470067,2.543883689518554
89.0,-244.94194125191393,-1.8709911565548012
89.5,-243.7434808558139,0.10433919327180309
90.0,-246.82366482724728,-1.4410223011969425
90.5,-250.7355366049083,-0.15830993204374608
91.0,-247.2751930282561,-0.29533034812678494
91.5,-251.56358921495087,1.5173970573562314
92.0,-244.839232156263,2.9263139990973164
92.5,-244.2772820119491,2.666858768912178
93.0,-242.88515288817592,0.10067171745944138
93.5,-240.56635248096234,-2.5915164717555457
94.0,-242.34193030691333,0.18566957566974024
94.5,-249.29800343937885,1.3211545050521938
95.0,-247.43045841894767,3.081752926611791
95.5,-237.13773099793417,0.20845327895960705
96.0,-238.00033526302207,0.8490654469203008
96.5,-244.42054815490377,3.119603617702637
97.0,-241.4833200782664,0.5906789946271488
97.5,-238.66123088654865,0.8216291115480648
98.0,-248.95068531019825,0.22126870906684845
98.5,-233.66223232394725,-2.50742465488751
99.0,-235.71181147504333,-1.8335057164855528
99.5,-232.5148503150096,-2.3977947114394484
100.0,-231.1385555537656,-0.8669509512236016
100.5,-231.15887744106547,2.657028009580101
101.0,-236.2258997408168,-0.8725866070665428
101.5,-233.44974196494195,-0.4790607876208945
102.0,-238.5119689582599,-1.2012697236074377
102.5,-233.2260496025111,-1.7229385491132119
103.0,-240.4808794203364,2.513429973945071
103.5,-231.0345663250067,0.2874291023233717
104.0,-230.5202305155736,-1.9193640580509883
104.5,-240.62649096451167,2.880764768921589
105.0,-237.23108076122716,3.0919605335544653
105.5,-227.90248896128472,0.23574942768473622
106.0,-240.91730572207098,1.2609408118826149
106.5,-226.31278474970253,-2.3178053384842046
107.0,-237.28741946264398,-0.8173551084040807
107.5,-223.76101163980024,-1.5910172080711726
108.0,-230.40945725813202,-1.0729116938452843
108.5,-228.06131305468395,-0.7639899400503725
109.0,-223.75602404561718,-2.8823374500104486
109.5,-217.41636796660603,-2.3539888160907374
110.0,-220.46602840588963,-1.5142247236650872
110.5,-221.58338739973794,-2.7426393864658043
111.0,-230.32105380891906,2.7170295022036823
111.5,-220.60802719151621,-2.869238182139221
112.0,-220.990053593215,-3.1199719713314025
112.5,-216.07464966782246,2.522138828274664
113.0,-244.5776424437051,0.8729815014027614
113.5,-231.63319718768156,1.8624061930737008
114.0,-217.27102022445342,-1.3841123327415872
114.5,-229.6473451852985,2.729880456437387
115.0,-223.53716621789079,-2.728102506762896
115.5,-208.42668713738112,-1.879561328635403
116.0,-228.51407044295064,-2.333536665204437
116.5,-228.53405293766255,-0.29469317456497934
117.0,-227.79997393964382,1.9096436803239958
117.5,-214.82552673566562,-1.4132007694437398
118.0,-213.09320386048913,-1.7264721146269528
118.5,-213.3862858330794,-2.3846429619092984
119.0,-209.50779109916823,2.5240030313456936
119.5,-211.88168501794655,0.7568644443864884
120.0,-208.5609928044185,1.0661409531420838
120.5,-227.1234951705698,-1.938438743846523
121.0,-222.94742668045697,-0.5428539341529872
121.5,-210.9628664093799,1.6459770677441405
122.0,-210.5022673772132,-1.7918424280742151
122.5,-212.6431656181418,-1.8846014459160856
123.0,-216.8232403669377,-1.6713663373454397
123.5,-223.6350041529674,-1.8907113090430014
124.0,-211.79457806837317,1.1437087339525214
124.5,-214.46966886205846,-3.04364213124777
125.0,-210.04061498655193,-0.5385351942279759
125.5,-214.27134148104483,0.566695874911565
126.0,-200.5377763833789,-1.6084430120325466
126.5,-216.35864804799215,-0.47432882566078904
127.0,-207.61017954753459,-0.4459675147731881
127.5,-206.65480422071255,-0.810184782636175
128.0,-206.15788701089488,-0.3882820976356769
128.5,-204.7566610257549,-0.733000421721434
129.0,-225.04453104785838,-0.9503628045264811
129.5,-202.49417058004707,0.7147171081033569
130.0,-201.03446465173238,1.6757812373435244
130.5,-209.87793373054745,1.0313590140308697
131.0,-201.23225370537608,0.9150731963266314
131.5,-203.14700992335918,2.6316545699805256
132.0,-201.03599420988547,1.630699153276891
132.5,-205.85215164331532,1.2881805307391112
133.0,-206.3137287980491,0.07739791491446457
133.5,-200.15093319306087,-0.12222772934878173
134.0,-192.87560690357964,-3.12758070716998
134.5,-194.25490359448315,-2.057371678390584
135.0,-208.70048880925634,-2.5791888154663964
135.5,-193.15966914642868,-2.718257419426558
136.0,-194.84520735652984,-1.8767903621795559
136.5,-207.31064570895887,2.071261012966099
137.0,-206.2091689232487,-2.366100653169031
137.5,-192.06752770273866,-2.9740548897196373
138.0,-192.75586490122413,-2.4297001112135512
138.5,-188.7291060924356,2.6703149824004306
139.0,-222.09580038824475,2.499871124471104
139.5,-210.4774000223031,-0.4703918855396456
140.0,-192.88352733925623,-2.882047616127479
140.5,-196.0818007900121,3.0128278725936473
141.0,-186.25389066166753,-0.035333821070596995
141.5,-197.01306666524528,0.9256670533182189
142.0,-189.43988543719632,1.6617414086274842
142.5,-188.4251865547418,-2.13943677110805
143.0,-199.00226449268845,-0.11522770520836087
143.5,-189.74195707710518,1.1335010685150744
144.0,-197.78603493355487,-0.8194360566279859
144.5,-194.08298033724517,1.7535660998276923
145.0,-188.44769091866488,1.9272335425572762
145.5,-198.75085798848284,0.16714635097231326
146.0,-191.7588473682629,2.645423665830991
146.5,-189.298802164868,-1.1285326451269782
147.0,-192.38144370447284,1.172142204620652
147.5,-177.967645327346,-2.0715252040916523
148.0,-176.68990806897943,0.955134258132806
148.5,-187.16588925573294,-0.9248526049536101
149.0,-210.00838504445272,-0.6597320297871043
149.5,-185.76645658059394,-0.5352066976084414
150.0,-193.77777550319334,0.7980146049335902
150.5,-184.1815650230475,1.9468415075879273
151.0,-189.44560697263668,0.22194012558092993
151.5,-188.1916523942493,0.5509647301043226
152.0,-179.25628991046483,-3.0363422460791503
152.5,-178.55953256321268,1.161728226186076
153.0,-177.17863651604745,-0.7680337135911134
153.5,-177.16081012745605,-0.9186814367464726
154.0,-180.2276877115463,-0.5657028690043939
154.5,-190.445961384122,2.0119558926496284
155.0,-173.3257219215604,-0.2694878654004189
155.5,-171.31375266651736,2.5816905951251696
156.0,-173.55004794709225,0.7721120673774391
156.5,-185.56595578136415,1.4765000430251485
157.0,-173.78892175920967,1.2547078068788822
157.5,-172.56382652706603,1.1951660476318162
158.0,-175.26075902471638,-3.1019443125686004
158.5,-170.14322917725568,-2.2153561468080074
159.0,-174.03377225016504,0.02485956390722283
159.5,-164.1470468994818,-2.774501979075162
160.0,-172.31301435129416,-1.7923494461913023
160.5,-171.2896466772797,2.493326553933336
161.0,-169.70696253390963,0.52504667826382
161.5,-166.24691047798393,-1.493536809918044
162.0,-174.28226373291926,1.3251261310236473
162.5,-176.42217335551848,2.780397264669684
163.0,-178.40576412329173,-2.0083634268957904
163.5,-174.33006305583427,-2.5442468111922563
164.0,-180.77264851840656,1.7493372967874563
164.5,-168.29597346077182,-2.5088169416052613
165.0,-171.00552850729102,2.9448004823667437
165.5,-164.98160845605597,-3.1307649515789664
166.0,-169.05010121076464,1.957496537780393
166.5,-170.1663976371533,-2.8209635514160505
167.0,-166.98818463714628,-2.155958504056237
167.5,-162.51668280750533,1.5196848968778924
168.0,-162.68667652891293,1.2219689677377745
168.5,-160.7055419298685,2.171343147951814
169.0,-162.25091066733518,-1.7633810309856501
169.5,-179.43012705657026,-2.7593992886036176
170.0,-156.6105860012394,-0.9856918766466392
170.5,-161.88860508365534,2.2602929240066887
171.0,-163.86754121971504,-0.588539716295448
171.5,-164.24257153201654,2.1677058612078897
172.0,-173.46909522396453,1.731314782293256
172.5,-164.886198838244,-1.0416324004080548
173.0,-155.15071555827004,0.47961484664596016
173.5,-156.77914670119924,-3.136956955680678
174.0,-165.0749851606278,-0.7226019418301411
174.5,-166.54134722895236,1.0647764285623074
175.0,-159.3923093760067,-2.665575795724204
175.5,-157.8420085820131,-2.6400272305453267
176.0,-169.65823503665334,-1.6204590490579045
176.5,-156.66892545966243,-1.0574124232848676
177.0,-158.35665303768084,-1.0746114510577762
177.5,-155.70986218887464,0.8404221760944932
178.0,-169.13027425382876,-1.0322442757907178
178.5,-152.6121646763487,-0.714404484391878
179.0,-151.84481630613493,1.2802801513718935
179.5,-150.1173165264712,-1.6314065791087193
180.0,-157.67955147165847,-0.9536584224359271
180.5,-153.6092788977491,3.024027117794098
181.0,-155.84856277874712,2.8067256826957987
181.5,-173.00942635097778,2.1445661868985035
182.0,-148.5851770295598,0.2529819198308751
182.5,-147.24689242520813,1.2811497939817418
183.0,-151.0264755898068,-2.267893114253522
183.5,-155.94781885315575,2.0780598331071927
184.0,-150.18569415688384,0.5851156188754103
184.5,-146.74106104543102,2.5870974303461067
185.0,-154.33075640716478,0.9761282249619103
185.5,-154.0391369449071,-1.6806249520100847
186.0,-145.71529039060178,-2.7780553293790184
186.5,-158.8695554329883,-1.315222307440535
187.0,-148.96859867738345,0.5661139981058688
187.5,-144.70605877825415,-1.3838714533609697
188.0,-151.86110040461304,-3.127479368029322
188.5,-150.3487984412113,-0.7366904787154753
189.0,-144.37663306264716,3.040248886576069
189.5,-144.83133064009672,-1.2142039095302282
190.0,-151.4584774575037,0.5693817377151841
190.5,-144.68539945813714,0.19956864443661534
191.0,-140.1264173127298,0.48854148432240607
191.5,-139.8913418423344,-2.163030896831483
192.0,-136.73955829813397,2.0495788585529406
192.5,-141.60425651658431,1.027237636098709
193.0,-146.95851491278353,0.19578817509135787
193.5,-138.0190848301258,1.239192126912408
194.0,-143.8207903720158,-1.0888271944549224
194.5,-146.60978816653306,-2.146956080938266
195.0,-147.5627865726434,-0.054336172925468516
195.5,-138.31733289482878,-2.6187362526812636
196.0,-145.72946858411197,-1.1727188387733996
196.5,-133.30493641945407,-2.137057519808026
197.0,-138.4746294546648,-0.5956654315860829
197.5,-135.12353819050932,-1.6213630869701074
198.0,-134.0031583340822,2.713467516775293
198.5,-139.61629927719792,2.861090595617802
199.0,-137.3007347547504,1.032037749014883
199.5,-139.57052063683173,-0.45072588448249007
200.0,-137.5975886008667,1.6077977340103704
200.5,-133.86775039315495,2.034636004619326
201.0,-134.5255600588227,-0.16698338997001555
201.5,-132.34764084791374,-1.620113392750064
202.0,-131.36580388195287,0.11530410555715433
202.5,-134.02851381981966,-0.3682127589755571
203.0,-132.31499540673377,-0.16334224518553353
203.5,-128.94600843105917,1.7991053220623932
204.0,-138.24221452210207,0.44488639843118877
204.5,-143.5330068812493,-1.5992907208594251
205.0,-131.98251113322638,-2.6164147480915076
205.5,-134.29399601864924,-2.892586926162667
206.0,-130.21860012217485,1.327004855985506
206.5,-135.39600835284836,-1.8126237056761927
207.0,-145.35162354203715,-1.6639132781798818
207.5,-131.27635599293532,-1.126654432251983
208.0,-124.42982176615564,-0.3685697873425018
208.5,-127.80215381023046,-0.04417466108944391
209.0,-123.30452902404183,1.1597258214182191
209.5,-124.53429953100867,-2.3762226493278016
210.0,-131.79606538762792,0.5693427709426907
210.5,-128.81949319628947,-2.852367309675108
211.0,-121.61929763157751,3.089376713539548
211.5,-134.60408617127788,1.5925462381415163
212.0,-130.75833423604385,-2.384652288343494
212.5,-130.12784740808084,0.6954163315060724
213.0,-121.59802929473821,-2.567596770655485
213.5,-120.83990749635672,1.6541724537792806
214.0,-120.77092987677604,2.7311225064403675
214.5,-116.82272025700456,0.28866693726520243
215.0,-119.19060290949184,-0.9341017951897763
215.5,-119.5864789356145,-1.2716359160697628
216.0,-136.207523360793,-1.4894833795635165
216.5,-124.88549967376527,2.966532450221452
217.0,-117.82034009208081,-0.1522509294341617
217.5,-127.44976707158857,-1.2213359159105732
218.0,-113.58010385364032,1.75856607810024
218.5,-116.35784979895816,1.3213608974252375
219.0,-125.86702641017862,1.355886622585867
219.5,-125.6421730695802,3.0871415658174555
220.0,-120.66309806778912,-1.058068932575951
220.5,-116.20207211074816,0.973058649541305
221.0,-129.45774953692398,-2.1575800880564913
221.5,-118.75366646821114,1.510626439784215
222.0,-136.50989678780707,-1.2068190372398553
222.5,-125.41764962034763,1.2387131433871883
223.0,-120.29652509715318,-1.6607640499167542
223.5,-115.75298103517721,1.950959967707958
224.0,-110.03157710601918,-2.494666710918739
224.5,-115.50634043745788,2.1604623616448513
225.0,-110.61819182611188,-2.5506748876547216
225.5,-117.23617212748516,1.917114687756976
226.0,-116.47015509864016,2.8583387502365905
226.5,-130.42894923231324,-0.9050841873001323
227.0,-111.97233472839144,0.44547302955815626
227.5,-114.11163117927873,-1.3943005689919257
228.0,-126.8859778543807,-2.1327877863340685
228.5,-111.92722459552208,0.46013221506432994
229.0,-112.59144557289702,-3.005788009146671
229.5,-116.65541828636773,-2.7750996400785537
230.0,-120.93463536455798,-2.7626315900187506
230.5,-110.14646874572259,1.6683030222808262
231.0,-113.88816800336171,1.5673716616176552
231.5,-116.18947908800845,0.9796140193626428
232.0,-108.94026581754453,-2.088551130455401
232.5,-103.5081287476274,-1.8682753437636839
233.0,-105.79274731716419,-2.6966261838108943
233.5,-112.32423474376132,1.0125746059977023
234.0,-110.17901214313832,-2.9676110124735517
234.5,-104.40829005006395,-1.9464275551939703
235.0,-109.31777495535341,0.6749059277069622
235.5,-110.3665119158818,2.735184420924656
236.0,-99.34249350765982,1.3288104169429564
236.5,-114.63935474412588,-2.028599092504354
237.0,-102.01153573066176,-0.46207495212088073
237.5,-104.20754438532589,-0.658653630022778
238.0,-101.99692681911122,-1.018798709449899
238.5,-104.76738037966268,2.716310008552611
239.0,-103.24509032285759,1.1961300017924006
239.5,-101.75543504456435,1.268436028154966
240.0,-103.4898861469506,0.12839604023520532
240.5,-102.89495703011382,2.3656287598843124
241.0,-97.57763459547544,-1.6592787135814142
241.5,-114.25442580788425,1.6761706877212132
242.0,-99.91039138648823,2.504640048178633
242.5,-103.05752549347874,1.3282524038166283
243.0,-102.07479709471323,2.189814219492951
243.5,-97.55496356939845,1.7083201207527707
244.0,-93.5444692383392,1.8197147705198158
244.5,-101.95487388248313,0.21864359121620022
245.0,-99.93422146566091,1.0326002559644125
245.5,-100.12809958534577,-1.7910459165976347
246.0,-100.2042090396998,-0.1289186530574816
246.5,-98.07871135281061,2.164734093910435
247.0,-96.70025833133982,-1.4159370517031873
247.5,-99.3601019365243,1.270615777183873
248.0,-90.98636599508241,-2.342000868949332
248.5,-93.40637682730363,2.0964876495053018
249.0,-100.15243336125428,-0.19947028142170134
249.5,-101.20892454627764,1.7324762399038034
250.0,-97.62075529670086,0.6801191457226099
250.5,-90.83165065587325,0.4261497423182083
251.0,-95.17235067307897,0.7461730071938354
251.5,-95.87403047756541,-3.103693520843439
252.0,-91.80235957202613,0.3962214871403029
252.5,-91.52693910847083,2.0032303459569687
253.0,-95.46892319116735,-0.5304971724223044
253.5,-102.01697855145498,0.7546592904850512
254.0,-94.23668880845982,-1.7362570896879805
254.5,-87.91532063655829,0.8094323132074932
255.0,-107.15033153650643,1.062812467653233
255.5,-92.0331179100375,-0.7926557700112529
256.0,-94.24557572438732,1.1789507561347978
256.5,-103.081273091761,-0.07816726197475068
257.0,-104.88057601446005,-1.9709028626268115
257.5,-89.23698808278417,3.024597468459988
258.0,-95.65831110257194,2.7770379707662642
258.5,-88.57210099707017,-0.3102877868123831
259.0,-93.02755680986081,-2.665795694768966
259.5,-91.52358972033574,0.29435504949757996
260.0,-88.82972667587674,-1.062182994808611
260.5,-91.5001653878533,-1.5273505471755953
261.0,-88.9647634091846,-0.45866252211974085
261.5,-90.94493421619637,1.5906838384107365
262.0,-84.9879730000122,1.2834355839802498
262.5,-93.82703433461565,0.11365828771952498
263.0,-86.70272022018827,-2.2776699473976256
263.5,-85.77346301288887,-2.4770003326536876
264.0,-85.49012112512436,1.0383976867558398
264.5,-88.88789226610294,-1.284838957998165
265.0,-93.66307816841481,-0.8789100094079243
265.5,-82.77845449166983,-2.8540512282524912
266.0,-83.3066412542435,-0.7976162568370022
266.5,-91.05287635067292,1.8817738821462906
267.0,-91.02757457520133,-0.5938840976134806
267.5,-90.3983615057366,2.48190142336077
268.0,-97.24251849265384,1.6847812545689862
268.5,-74.96939671884518,0.34118002360302613
269.0,-74.6078360418827,1.4464975544005065
269.5,-80.3781296213497,1.0053805445646478
270.0,-76.24594894146676,-1.1796290210932152
270.5,-81.58901919198543,2.3369341863679853
271.0,-83.00628928898647,2.695909184668778
271.5,-85.79866899898181,2.164823734207836
272.0,-77.40280449260351,0.6612862688757257
272.5,-75.41870013339052,-0.7150896330000087
273.0,-88.67526151818754,-0.8992431328800113
273.5,-77.81410474867498,-1.6237869079606622
274.0,-76.28061018770072,-1.911877915529199
274.5,-77.06485665383869,-0.5494611562005801
275.0,-77.11672952595598,2.904037091730583
275.5,-74.3201867114873,2.370488591788725
276.0,-74.49172221667148,2.7529336993457036
276.5,-77.19865245593543,2.3446920401169185
277.0,-85.23470145992573,-1.8580939981274058
277.5,-77.34184128837042,-0.6556681750296558
278.0,-80.00457049228416,0.6828831873322507
278.5,-75.13966036570126,1.9912551604104225
279.0,-77.66832074357238,-1.5407831801729521
279.5,-78.17527836922932,-1.3277866516206598
280.0,-73.6499485445911,0.9916067650192647
280.5,-76.29757693608015,-0.1792043243853589
281.0,-80.26481737685957,-0.5894538260461197
281.5,-70.29196937385935,3.0207651971302973
282.0,-75.28854970190999,-3.049885404889515
282.5,-82.6197683009108,-2.847017542496048
283.0,-76.18298661083954,-0.9504217914250134
283.5,-67.84895082441616,-1.5660636602276747
284.0,-71.01522707646797,2.6731970849468274
284.5,-70.99696046292577,2.5103498169235725
285.0,-69.25326221838664,1.983315127677587
285.5,-73.47941459277651,1.121535433302618
286.0,-89.16587087377906,-0.22401008477227266
286.5,-82.12931967422492,-1.5980276817598509
287.0,-75.04288218642004,0.6468316073425346
287.5,-69.54714916415851,2.4908399272738913
288.0,-81.68123424482107,-0.5420429387506209
288.5,-74.93507457098563,0.53141594373619
289.0,-66.69874389795802,0.5569150498251454
289.5,-68.05514125933682,-2.9387814328147677
290.0,-67.99773045863039,-1.8291057367765207
290.5,-67.00330299772511,0.42670316355408855
291.0,-90.40147342025676,2.255783419575729
291.5,-71.69465768848167,1.3966954935164655
292.0,-74.81772516664917,-1.524510476779377
292.5,-88.5572429216102,-2.3128551708075036
293.0,-75.08448002300617,-2.5647761225347443
293.5,-65.54459291383247,2.0917065633134806
294.0,-76.33425385331392,2.799436193954969
294.5,-72.93032992615113,0.0906361065389992
295.0,-73.0001987387804,0.9073333829757073
295.5,-73.70915936957793,-2.7788298240598412
296.0,-60.82551955912044,-1.774233809316978
296.5,-67.28432797982488,0.7884506308394731
297.0,-76.72468499973681,1.2216686228547005
297.5,-69.9765980451831,-0.6986657924753776
298.0,-61.37560618770373,0.3035054142307749
298.5,-60.75480467088508,-0.34875463231445464
299.0,-59.61965085277267,0.8146242890730689
299.5,-62.91773051222237,1.3802357501347966
300.0,-67.24345848863302,-2.6413369748953914
300.5,-61.894231067055145,-2.777470530922406
301.0,-59.76921962268925,2.0084669404908895
301.5,-72.57491807448932,0.9758049750764953
302.0,-62.762559721690714,1.78548428688303
302.5,-66.55518750754885,-1.3386039508123617
303.0,-61.06737234000485,-1.3591532740157324
303.5,-57.18202534496684,-2.349038644117943
304.0,-71.27331273434517,-2.9031711483776177
304.5,-66.38914841814174,-2.9722457999435674
305.0,-62.576857388153385,-2.8134326026051526
305.5,-54.901987859978334,-2.499568433073661
306.0,-66.4384418282029,0.49650143534542923
306.5,-66.54982819414047,-2.649983192862734
307.0,-58.759521782813394,-1.5650438531497828
307.5,-61.54080807750639,-0.28521417098362717
308.0,-64.93065084747754,-0.5552143553526717
308.5,-60.00622938963645,-1.0755717113604872
309.0,-59.094853775937096,-0.2988400910041235
309.5,-59.092403157365055,-3.0298656479572386
310.0,-57.77401458348555,1.7853461530588814
310.5,-54.277029914155634,2.566150116295084
311.0,-71.51788267645365,-0.839330739589024
311.5,-56.9514747673388,-1.3353457305368293
312.0,-66.15911932224728,0.1334825373219355
312.5,-59.27904745416333,1.5884635159766223
