Frequency_Hz,Magnitude_dBFS,Phase_rad
0.0,-15.44295260074171,0.0
0.5,-12.6225672455657,-1.1253940095991977
1.0,-6.211887954903159,-2.408257603396926
1.5,-6.777682752377344,-1.3627080268548901
2.0,-13.109649506426377,-1.59931672220503
2.5,-5.313270984446575,-1.6701782436958141
3.0,-10.030067703197858,2.1610690152691876
3.5,-12.830298369146327,1.3347939536204139
4.0,-16.68471019850291,2.8278947523394047
4.5,-17.860530312339826,2.4027937388550678
5.0,-13.596408062047885,-1.3149141042457113
5.5,-22.532562926618212,-1.8892707812779543
6.0,-9.020972012376753,1.0680160054191439
6.5,-24.327223435484292,1.5631249339242124
7.0,-12.295950939892483,-0.3116257353025621
7.5,-12.484663093091761,0.635693292063842
8.0,-11.457963384904984,-0.2196369953042087
8.5,-8.825249983412244,2.9499636789624093
9.0,-10.016557424766013,0.41126798778678575
9.5,-12.255080813867753,-1.9711506277955015
10.0,-9.783688581513761,2.4018959054470828
10.5,-7.673447063017951,0.09566797472476965
11.0,-10.579400777671374,3.088698775215857
11.5,-17.473699288541514,-2.024314128518618
12.0,-17.539886112080232,-2.049299687071452
12.5,-22.71142356322065,-2.5672663324033373
13.0,-12.402165495952847,2.8466456918331735
13.5,-14.676592758049656,-0.5613619852167874
14.0,-8.052815635676472,2.0877020733172205
14.5,-11.466247858208034,2.5369266727271405
15.0,-14.082718590539615,-0.6006393144805449
15.5,-18.62940969238474,-0.5640295611544608
16.0,-19.1769443651471,1.1684761456770791
16.5,-12.40503189512153,3.086348611536829
17.0,-23.20583430717683,-1.1853182884632998
17.5,-13.167254526647907,0.4159468781525797
18.0,-6.897242275105527,-1.1009523995843005
18.5,-2.2985527237284846,-0.7288471528895835
19.0,-9.94294291954839,-0.78802187520065
19.5,-18.537782646439393,-0.28632922833663643
20.0,-19.102742223100417,0.6108978803432396
20.5,-19.291861164788788,0.8561217020759427
21.0,-26.97540873375962,2.478805288283752
21.5,-8.482410248148124,2.7074431519658324
22.0,-6.971765149864643,0.5922760508796789
22.5,-5.538395107504973,-0.8515011872899195
23.0,-11.041560194953615,-3.1263265468950907
23.5,-9.517075781333258,-1.661312067299372
24.0,-16.597389317889363,-1.537851977881864
24.5,-22.14296537094522,-2.955571035811862
25.0,-11.620310160592123,2.7049515122856094
25.5,-18.480874014211686,2.8684681692384624
26.0,-17.414557938927917,0.21770601194941813
26.5,-10.076752639473735,-2.9367974500963387
27.0,-46.30366061938094,-2.5519691120861436
27.5,-10.419248390220053,0.22226996565400545
28.0,-18.44165371331924,-0.8432861706681971
28.5,-18.784160133535266,-1.9239179891869875
29.0,-12.220143290866785,1.7600401451662415
29.5,-12.286520292244422,-0.9847616499903771
30.0,-7.826111362971055,0.03189534903475292
30.5,-17.188922910998535,-2.9427017770862673
31.0,-20.804429997329752,-0.43043794982265177
31.5,-13.177637303501932,-0.585764887689977
32.0,-14.985619166885789,1.2222082220657686
32.5,-9.345450571436754,-0.8932990653789911
33.0,-13.001560323380975,-2.382461807986251
33.5,-19.181725292148815,-1.2156197531721602
34.0,-14.765860605017629,-1.2852119808373237
34.5,-13.146656876460806,2.5986614520311693
35.0,-14.22017066753375,1.7075641093590626
35.5,-8.653181906378139,1.048026484969886
36.0,-22.607610337713872,2.8096970585154364
36.5,-13.534611490201582,0.7277267623755292
37.0,-8.101470823559216,-1.872199430488416
37.5,-9.610508338106536,-1.8691116184693104
38.0,-9.77683177496686,-2.0617711080749075
38.5,-12.150637907813342,-3.087499117602642
39.0,-16.512928028997415,-1.4010464361295132
39.5,-9.900855775319847,-2.4682933044769624
40.0,-11.168307166632292,-0.5843600984602487
40.5,-9.187440406787747,-1.5596704565010613
41.0,-13.222992390459083,1.5055467963463292
41.5,-21.73663597616774,0.902313283844056
42.0,-16.921650407779126,2.9597533835529815
42.5,-12.50236810414817,-1.8828307559479112
43.0,-15.438489344381214,1.2136636588648213
43.5,-30.32414387744784,-2.479901858841621
44.0,-9.537419145024458,2.6054467742584486
44.5,-13.77028886470908,2.678782616981895
45.0,-9.812541268058949,-2.1574336495386315
45.5,-15.041409812764197,-1.2280062302188828
46.0,-12.784854886010796,-2.188977819749948
46.5,-11.059008727281721,-0.4533754112030403
47.0,-16.39349559675001,0.5841985148726293
47.5,-15.81069994827211,0.06346207583156399
48.0,-9.061700948209042,0.4738127445263299
48.5,-8.840629903162968,3.114791540915328
49.0,-14.049786907195754,-2.9204217018453633
49.5,-14.876609176632128,-2.918997441089998
50.0,-9.843978308270074,2.6872242789574887
50.5,-8.192680626653205,-2.217075588482608
51.0,-28.071492590070307,-0.4403025732692874
51.5,-9.427362370980967,1.0728977213015565
52.0,-9.677949889977329,2.772954024256215
52.5,-14.418370385516603,-0.5427507465441287
53.0,-12.525412061484868,1.1378736048760187
53.5,-14.443022435085734,-2.105617612334946
54.0,-10.222556411889812,-0.8498916280695287
54.5,-21.120794719266293,-1.0469222847554562
55.0,-8.158841715549107,-2.3553290200697403
55.5,-5.681324097402493,2.3561969498791377
56.0,-10.315460421341223,-1.9046978945287727
56.5,-35.16180771406915,1.4336285719254693
57.0,-8.212621342868928,0.46439802909616396
57.5,-7.33919427890962,1.0065533665114594
58.0,-15.40837937518984,-0.000518489131205699
58.5,-14.92329909263355,0.10649443111955935
59.0,-13.041444641167594,2.738685762510461
59.5,-15.638101268515472,-0.8265601150362649
60.0,-8.138151582947534,1.4182925366014891
60.5,-16.434150267770814,2.1306960808022795
61.0,-9.24508961579946,-0.22109843747443025
61.5,-13.733948076149467,-1.0429851842422329
62.0,-8.26110477820169,-2.6785993916783934
62.5,-11.962007192464757,2.525758603895629
63.0,-18.855070833585362,-1.0787407944498852
63.5,-12.309639278545735,2.228191407730512
64.0,-19.41133001670678,-2.655979314263942
64.5,-9.691272764908256,-2.69891413626806
65.0,-20.251066687346686,-2.5711216592992514
65.5,-20.732658186059144,-2.9051360952162906
66.0,-7.467562062550671,0.16165294662211216
66.5,-10.610893756474969,3.088812363092078
67.0,-13.267038971493832,-1.8146413313997922
67.5,-8.431107134759381,-0.545016857558672
68.0,-20.278902604068243,-2.982391793900323
68.5,-18.11465482535786,2.5051735281171075
69.0,-18.846151044363115,-0.051056143094807424
69.5,-6.5307954877635845,-2.420007669372731
70.0,-13.640272560514784,0.3991706304924335
70.5,-20.75021397175474,2.948257269554216
71.0,-7.843782457297216,2.2266395837199804
71.5,-20.650129410940103,-1.1173373048837731
72.0,-16.178735344229974,-1.004512767431419
72.5,-10.348393371201826,1.312658382100512
73.0,-9.807880322626868,-2.5512723753332205
73.5,-2.6205082498962753,-1.903402383461324
74.0,-17.13607954974402,2.023899608355765
74.5,-7.329800499772656,-2.3131191069496415
