Frequency_Hz,Magnitude_dBFS,Phase_rad
0.0,-11.516636398324804,0.0
1.0,-7.2494368355895,-0.2564195293877064
2.0,-16.341386377343532,2.7107637830436224
3.0,-13.446277073418923,-2.3699246962422293
4.0,-9.92901947338499,0.5674856606292864
5.0,-23.288860268533366,0.019638368709868244
6.0,-13.019602861258615,-1.7259298684726698
7.0,-14.213263991475271,-0.5125493113199937
8.0,-9.225835533443652,1.3479218005262503
9.0,-7.602177814010057,-1.2144377906611419
10.0,-14.649079738420019,-2.0153792000175565
11.0,-7.131976951248795,0.31188996500716853
12.0,-13.501004656570927,-2.85202458575772
13.0,-9.528268233097165,-1.3804890407273143
14.0,-10.286764585527273,-0.8391093262014505
15.0,-12.042022654990383,-1.563117915803518
16.0,-13.950501000387929,-0.646179355485982
17.0,-13.133607665166256,-2.8481123081918445
18.0,-5.564262220300495,0.18097801292394505
19.0,-15.425569749985893,-0.039492203352179164
20.0,-25.700620169657906,-2.6719129774992654
21.0,-18.846612243655006,0.6001887301387864
22.0,-17.372373739715243,-0.2160457430272671
23.0,-8.125167404810362,-1.1545450174937133
24.0,-43.23472305808827,1.4232844662075954
25.0,-9.353218752206105,2.467060316220563
26.0,-9.54827800464937,0.8704087901227685
27.0,-8.912345170089097,1.3788596927504613
28.0,-16.571097941082794,-2.35787559882275
29.0,-16.298108949020364,-2.352433808517956
30.0,-2.9009226864627315,0.7536908226455051
31.0,-18.658345557640317,0.7924553215795828
32.0,-4.117512005441565,0.9600068471822917
33.0,-11.088788648592505,0.5255782740609226
34.0,-11.141995140381947,-1.7927616596175735
35.0,-10.912628667483638,0.40805297352688846
36.0,-11.898262013270632,2.6834240477703473
37.0,-23.4335863318853,2.204045681864714
38.0,-8.515065440402637,-3.0397321563425272
39.0,-7.594981085882132,0.1017038621876575
40.0,-11.883529773202753,-0.8981196369301078
41.0,-9.919282522301032,-0.7940318623036453
42.0,-13.827698777172728,-0.30248169004811143
43.0,-11.49898497918771,-0.914317629643233
44.0,-28.98818279782541,1.928908764987991
45.0,-6.085632395674873,1.3344739173191926
46.0,-15.175519068152028,1.2276790515479574
47.0,-7.885580767691211,2.10801234548833
48.0,-5.601142232348717,-2.384928968564542
49.0,-2.041217157329383,2.612091663645322
50.0,-13.854637076666789,0.4471717970558965
51.0,-11.08135835645961,2.967567401309739
52.0,-11.65144900335462,-1.3863068948794368
53.0,-12.748266848562643,1.2184185613403968
54.0,-13.448616000863016,-2.4567499643995987
55.0,-10.894690682140366,-2.3736805943603576
56.0,-13.131269358105975,2.755035471579937
57.0,-27.406558396842108,3.0351986857740485
58.0,-7.780056681363421,-0.5001407672535072
59.0,-11.391618965909277,-1.1662611682963056
60.0,-16.791623889943285,-0.638206108186129
61.0,-11.054174722676688,0.36299139227157123
62.0,-9.136257535499775,-2.9860954971827574
63.0,-9.618581133823662,0.6862837971055084
64.0,-15.807377314791394,-0.5762474237374325
65.0,-17.62405744789133,1.1025102333006624
66.0,-14.079995321420384,-2.215759647056602
67.0,-10.529481861195805,2.9097497445137863
68.0,-8.817037986597661,-2.5356380344255354
69.0,-3.170271648633462,0.2206611675055078
70.0,-15.84829961137608,-2.138488747090547
71.0,-23.700816207601797,-0.614909833421588
72.0,-19.901633673100353,-2.48601785312642
73.0,-15.686393566422371,-2.498195728714916
74.0,-14.650663463261381,1.1612904405613658
75.0,-14.851005698216941,1.6671533741150542
76.0,-3.61092328111916,2.988719242476313
77.0,-6.923129613953973,0.3289012256470552
78.0,-5.195625648050658,0.32399171148329653
79.0,-11.560802479715917,-1.1274927938406654
80.0,-6.994089103128931,-0.4660997528774676
81.0,-4.539625559074963,0.386486516768433
82.0,-13.055969898547113,-0.9035844846870812
83.0,-21.781939105009176,-0.32467633546127417
84.0,-16.924444162423168,-0.7475780978764509
85.0,-9.269075283910137,-3.053082436636306
86.0,-10.49854808508606,0.6059668794892678
87.0,-7.6734294673372165,-1.7155358843426334
88.0,-5.806653643763465,1.1196909156390642
89.0,-12.47724101682072,-2.338793746327149
90.0,-16.124999003402294,2.220920430962953
91.0,-11.353191609122755,1.4709566967759655
92.0,-8.09355858742839,2.4718922907954886
93.0,-3.4430347941264867,1.2314770362587335
94.0,-17.07119179770884,0.6591008024444585
95.0,-22.962654671545224,-1.738782981849845
96.0,-4.887096503771656,0.49553596429894436
97.0,-21.268051075814768,-2.0640434929112383
98.0,-19.006348536509872,-1.1290166818409313
99.0,-8.63511164742349,2.223558222357675
100.0,-21.291211823107915,1.7199351493949622
101.0,-15.149485457470053,0.3656543387829066
102.0,-22.419748076847526,2.4911892811239227
103.0,-10.341600805040212,0.3435502927220932
104.0,-13.459755428660396,-0.43390096089585045
105.0,-13.035272553145305,-2.4128510119034488
106.0,-12.438993029551707,2.156908044314738
107.0,-7.735636158088455,-3.0914167120310516
108.0,-16.01992231306221,-1.2127979444918708
109.0,-13.08155583619698,0.14996282698562272
110.0,-15.868844668044193,1.9201918830671085
111.0,-5.663580932983452,0.8804134108364768
112.0,-8.927221487139871,-0.054139938195628734
113.0,-13.935481787243987,-0.6956773634450077
114.0,-6.180867692471624,1.0201862133598103
115.0,-18.543399092219534,-2.997576576704252
116.0,-14.728066916932407,1.2085442883399973
117.0,-16.968521900677803,-1.0809262792891448
118.0,-5.781493813879748,1.7235175527554316
119.0,-5.304960091931053,0.7949816357255064
120.0,-5.6179324734197165,-1.8155521570019406
121.0,-27.868493331504677,2.9049876168616287
122.0,-11.38960711433153,-0.6318561554508935
123.0,-12.841529732329475,-1.268099717468663
124.0,-22.73297881285003,2.7259604678756233
125.0,-10.448032322350638,-0.3583992144673177
126.0,-15.734005867981844,-2.616582689420201
127.0,-8.782609839188536,-0.7931579169927855
128.0,-17.856007355033128,-0.18764161529744636
129.0,-21.34924302413845,-2.7027103858022454
130.0,-23.355802863088144,0.6326576630484021
131.0,-13.06177703091157,-1.3460034792734135
132.0,-10.464948777302617,-0.41153684405636504
133.0,-14.801749623293974,1.3675590341242445
134.0,-13.15618078506214,1.5795624015708625
135.0,-22.475116642799463,0.7179116304959499
136.0,-23.214969616572102,2.076832699493723
137.0,-21.737180659456325,-1.9586723437054423
138.0,-14.64125705159229,-1.1508202815875992
139.0,-19.085388743515345,-1.2489170146185153
140.0,-5.245655974266091,1.5000402174038028
141.0,-9.291133476718393,0.9445326365071531
142.0,-19.756138747887938,2.5338297698473538
143.0,-16.36688302314693,0.8779972949169152
144.0,-13.712825857303542,0.5954827149795429
145.0,-12.253678323299262,0.906992925462391
146.0,-6.086216505679875,0.3676444711628315
147.0,-9.137034472465935,0.9588667200147719
148.0,-7.708786488159395,0.276940411093328
149.0,-7.008898985781585,-3.0621105172974272
150.0,-12.616795695987012,-1.2831355332950638
151.0,-13.532264601646933,-1.7628969046422427
152.0,-9.162352441037159,-2.954367354801623
153.0,-10.48527380001293,2.0253906937928594
154.0,-17.224437520622395,-2.1527696730687698
