Frequency_Hz,Magnitude_dBFS,Phase_rad
0.0,-1.3954952153978517,0.0
1.0,-12.778979141366339,0.18866456327284026
2.0,-8.635887152576938,-2.564376192201674
3.0,-12.881406919551877,1.3439616870940831
4.0,-10.214846987231997,-0.8510197129041664
5.0,-11.898167661231662,-2.114584125561663
6.0,-16.433248477226062,1.8688419221142714
7.0,-11.727169716918908,0.19743781924058748
8.0,-3.9922322303436326,1.2388704700600424
9.0,-14.054229751065034,-0.16082044129460024
10.0,-15.20457774717367,-1.1339507599570775
11.0,-12.173033488869724,-2.9474242161448894
12.0,-5.7022203348504386,2.905184967402076
13.0,-17.07848549460095,-1.1832579884191516
14.0,-11.892558680763688,-2.237234101002949
15.0,-21.465550112142694,2.3425312340857456
16.0,-11.113415294885646,1.2602662548497223
17.0,-9.540762480975882,-1.0311739870582965
18.0,-7.685709183736465,0.15567470281436996
19.0,-21.601044373266692,-0.16969087447287684
20.0,-7.779903331604345,-0.49289202674177124
21.0,-9.91551178789845,-0.6353085278118604
22.0,-16.463375907832138,0.8271332646930205
23.0,-9.066378568043408,1.927920963619842
24.0,-19.310955290901045,-2.9592517270597423
25.0,-6.65637126568542,-2.357605438796636
26.0,-6.79205387271494,0.8962780474339889
27.0,-12.18678264421429,-1.2597715157158305
28.0,-7.752053542436958,-1.3023828303746008
29.0,-12.408321111802593,-3.101666557321056
30.0,-8.388953874909072,-0.4429943001772639
31.0,-14.549973444398399,0.4419376511994262
32.0,-2.382706757522451,-0.040968145642758746
33.0,-18.036016225894393,0.7243291733468551
34.0,-10.475099721203293,-1.888889238064553
35.0,-6.856575246037852,-0.7242411977599864
36.0,-15.714702453512395,-2.641673490821941
37.0,-9.984859449635135,0.2619283669084041
38.0,-12.941430065463898,-2.8955249694278944
39.0,-12.52351023666489,-0.22588591514318657
40.0,-14.9795429828443,2.020447873285337
41.0,-17.307025276453306,1.5624010170370057
42.0,-12.710390411741002,-1.460593995828895
43.0,-3.5056762866838094,-2.797903529812421
44.0,-22.585690514299017,0.9556311124535696
45.0,-12.143960219271992,2.0157111330912785
46.0,-35.65631458216228,-2.4806960655624852
47.0,-7.3639077042645535,-0.23742710420726398
48.0,-6.626502545727197,-1.5704423028260925
