Frequency (Hz),Window1 Gain,Window2 Gain
97.0,2.4797651800583444e-12,2.4797651800583444e-12
97.5,2.649663245035643e-12,2.649663245035643e-12
98.0,2.8309687531382595e-12,2.8309687531382595e-12
98.5,3.024431417093967e-12,3.024431417093967e-12
99.0,3.2308491135108624e-12,3.2308491135108624e-12
99.5,3.4510709027842482e-12,3.4510709027842482e-12
100.0,3.686000233473805e-12,3.686000233473805e-12
100.5,3.936598342105931e-12,3.936598342105931e-12
101.0,4.203887859986384e-12,4.203887859986384e-12
101.5,4.488956639274706e-12,4.488956639274706e-12
102.0,4.792961811274695e-12,4.792961811274695e-12
102.5,5.1171340906369286e-12,5.1171340906369286e-12
103.0,5.462782339952465e-12,5.462782339952465e-12
103.5,5.831298410043155e-12,5.831298410043155e-12
104.0,6.224162272125342e-12,6.224162272125342e-12
104.5,6.64294745894358e-12,6.64294745894358e-12
105.0,7.089326832941471e-12,7.089326832941471e-12
105.5,7.565078700559654e-12,7.565078700559654e-12
106.0,8.072093292830245e-12,8.072093292830245e-12
106.5,8.612379633575607e-12,8.612379633575607e-12
107.0,9.188072817719109e-12,9.188072817719109e-12
107.5,9.801441723481253e-12,9.801441723481253e-12
108.0,1.0454897183568204e-11,1.0454897183568204e-11
108.5,1.1151000641866279e-11,1.1151000641866279e-11
109.0,1.1892473323638568e-11,1.1892473323638568e-11
109.5,1.2682205948781126e-11,1.2682205948781126e-11
110.0,1.3523269019342698e-11,1.3523269019342698e-11
110.5,1.4418923714247597e-11,1.4418923714247597e-11
111.0,1.537263342598659e-11,1.537263342598659e-11
111.5,1.6388075975968676e-11,1.6388075975968676e-11
112.0,1.746915654725197e-11,1.746915654725197e-11
112.5,1.862002137551014e-11,1.862002137551014e-11
113.0,1.984507224133815e-11,1.984507224133815e-11
113.5,2.1148981809372496e-11,2.1148981809372496e-11
114.0,2.253670986219215e-11,2.253670986219215e-11
114.5,2.401352047959492e-11,2.401352047959492e-11
115.0,2.5585000216606534e-11,2.5585000216606534e-11
115.5,2.725707733648987e-11,2.725707733648987e-11
116.0,2.9036042158084355e-11,2.9036042158084355e-11
116.5,3.0928568580026727e-11,3.0928568580026727e-11
117.0,3.294173684779722e-11,3.294173684779722e-11
117.5,3.508305763310154e-11,3.508305763310154e-11
118.0,3.7360497498852824e-11,3.7360497498852824e-11
118.5,3.9782505826966575e-11,3.9782505826966575e-11
119.0,4.2358043290332883e-11,4.2358043290332883e-11
119.5,4.509661195469838e-11,4.509661195469838e-11
120.0,4.800828710078611e-11,4.800828710078611e-11
120.5,5.110375086180222e-11,5.110375086180222e-11
121.0,5.4394327776566125e-11,5.4394327776566125e-11
121.5,5.789202236383038e-11,5.789202236383038e-11
122.0,6.160955882896819e-11,6.160955882896819e-11
122.5,6.556042302010509e-11,6.556042302010509e-11
123.0,6.975890675696538e-11,6.975890675696538e-11
123.5,7.422015466221562e-11,7.422015466221562e-11
124.0,7.896021363193057e-11,7.896021363193057e-11
124.5,8.399608508898783e-11,8.399608508898783e-11
125.0,8.934578017075801e-11,8.934578017075801e-11
125.5,9.502837801037542e-11,9.502837801037542e-11
126.0,1.0106408727920683e-10,1.0106408727920683e-10
126.5,1.0747431116688568e-10,1.0747431116688568e-10
127.0,1.1428171598445461e-10,1.1428171598445461e-10
127.5,1.2151030358580083e-10,1.2151030358580083e-10
128.0,1.291854878126937e-10,1.291854878126937e-10
128.5,1.3733417517935203e-10,1.3733417517935203e-10
129.0,1.4598485002361951e-10,1.4598485002361951e-10
129.5,1.5516766436352824e-10,1.5516766436352824e-10
130.0,1.6491453271030212e-10,1.6491453271030212e-10
130.5,1.7525923210174031e-10,1.7525923210174031e-10
131.0,1.8623750763342881e-10,1.8623750763342881e-10
131.5,1.9788718377940438e-10,1.9788718377940438e-10
132.0,2.102482818087674e-10,2.102482818087674e-10
132.5,2.233631436203166e-10,2.233631436203166e-10
133.0,2.372765623336576e-10,2.372765623336576e-10
133.5,2.5203591999234435e-10,2.5203591999234435e-10
134.0,2.676913327526208e-10,2.676913327526208e-10
134.5,2.842958039501345e-10,2.842958039501345e-10
135.0,3.019053854567856e-10,3.019053854567856e-10
135.5,3.2057934776051684e-10,3.2057934776051684e-10
136.0,3.403803592225984e-10,3.403803592225984e-10
136.5,3.613746749896286e-10,3.613746749896286e-10
137.0,3.836323360613323e-10,3.836323360613323e-10
137.5,4.072273790401306e-10,4.072273790401306e-10
138.0,4.322380571146396e-10,4.322380571146396e-10
138.5,4.587470728565547e-10,4.587470728565547e-10
139.0,4.868418234390829e-10,4.868418234390829e-10
139.5,5.166146589150615e-10,5.166146589150615e-10
140.0,5.48163154224338e-10,5.48163154224338e-10
140.5,5.815903956328285e-10,5.815903956328285e-10
141.0,6.170052823401786e-10,6.170052823401786e-10
141.5,6.545228440288812e-10,6.545228440288812e-10
142.0,6.942645751654909e-10,6.942645751654909e-10
142.5,7.363587869040061e-10,7.363587869040061e-10
143.0,7.809409774827301e-10,7.809409774827301e-10
143.5,8.281542220492106e-10,8.281542220492106e-10
144.0,8.78149582892911e-10,8.78149582892911e-10
144.5,9.310865411126185e-10,9.310865411126185e-10
145.0,9.871334507949553e-10,9.871334507949553e-10
145.5,1.0464680168320673e-09,1.0464680168320673e-09
146.0,1.1092777975605495e-09,1.1092777975605495e-09
146.5,1.1757607334601865e-09,1.1757607334601865e-09
147.0,1.246125703210162e-09,1.246125703210162e-09
147.5,1.3205931084620226e-09,1.3205931084620226e-09
148.0,1.3993954887532094e-09,1.3993954887532094e-09
148.5,1.4827781680524796e-09,1.4827781680524796e-09
149.0,1.5709999344987243e-09,1.5709999344987243e-09
149.5,1.6643337549685486e-09,1.6643337549685486e-09
150.0,1.7630675261845864e-09,1.7630675261845864e-09
150.5,1.867504864156895e-09,1.867504864156895e-09
151.0,1.9779659338336763e-09,1.9779659338336763e-09
151.5,2.0947883209250066e-09,2.0947883209250066e-09
152.0,2.2183279479546622e-09,2.2183279479546622e-09
152.5,2.34896003669066e-09,2.34896003669066e-09
153.0,2.4870801192046317e-09,2.4870801192046317e-09
153.5,2.6331050999142502e-09,2.6331050999142502e-09
154.0,2.7874743710712e-09,2.7874743710712e-09
154.5,2.9506509842708234e-09,2.9506509842708234e-09
155.0,3.12312288067723e-09,3.12312288067723e-09
155.5,3.3054041827813148e-09,3.3054041827813148e-09
156.0,3.4980365506375492e-09,3.4980365506375492e-09
156.5,3.7015906056593555e-09,3.7015906056593555e-09
157.0,3.9166674251931896e-09,3.9166674251931896e-09
157.5,4.14390011123671e-09,4.14390011123671e-09
158.0,4.3839554368189725e-09,4.3839554368189725e-09
158.5,4.637535573718826e-09,4.637535573718826e-09
159.0,4.9053799053631416e-09,4.9053799053631416e-09
159.5,5.1882669289183795e-09,5.1882669289183795e-09
160.0,5.487016250769148e-09,5.487016250769148e-09
160.5,5.802490679763644e-09,5.802490679763644e-09
161.0,6.135598422801392e-09,6.135598422801392e-09
161.5,6.487295387541507e-09,6.487295387541507e-09
162.0,6.858587597220804e-09,6.858587597220804e-09
162.5,7.250533722792234e-09,7.250533722792234e-09
163.0,7.664247737822383e-09,7.664247737822383e-09
163.5,8.100901701826515e-09,8.100901701826515e-09
164.0,8.561728677967793e-09,8.561728677967793e-09
164.5,9.048025791306501e-09,9.048025791306501e-09
165.0,9.561157434054128e-09,9.561157434054128e-09
165.5,1.0102558624567906e-08,1.0102558624567906e-08
166.0,1.0673738527113504e-08,1.0673738527113504e-08
166.5,1.1276284139726466e-08,1.1276284139726466e-08
167.0,1.1911864157819161e-08,1.1911864157819161e-08
167.5,1.2582233021509597e-08,1.2582233021509597e-08
168.0,1.3289235154988204e-08,1.3289235154988204e-08
168.5,1.4034809406596583e-08,1.4034809406596583e-08
169.0,1.482099369865987e-08,1.482099369865987e-08
169.5,1.5649929896499355e-08,1.5649929896499355e-08
170.0,1.6523868906452306e-08,1.6523868906452306e-08
170.5,1.7445176013140182e-08,1.7445176013140182e-08
171.0,1.8416336466658157e-08,1.8416336466658157e-08
171.5,1.9439961330808223e-08,1.9439961330808223e-08
172.0,2.0518793603963423e-08,2.0518793603963423e-08
172.5,2.1655714624635755e-08,2.1655714624635755e-08
173.0,2.2853750774321734e-08,2.2853750774321734e-08
173.5,2.4116080490725012e-08,2.4116080490725012e-08
174.0,2.544604160499451e-08,2.544604160499451e-08
174.5,2.6847139017182735e-08,2.6847139017182735e-08
175.0,2.8323052724713186e-08,2.8323052724713186e-08
175.5,2.987764621925146e-08,2.987764621925146e-08
176.0,3.15149752680089e-08,3.15149752680089e-08
176.5,3.323929709615714e-08,3.323929709615714e-08
177.0,3.5055079987714936e-08,3.5055079987714936e-08
177.5,3.696701332297078e-08,3.696701332297078e-08
178.0,3.898001807123742e-08,3.898001807123742e-08
178.5,4.109925775848966e-08,4.109925775848966e-08
179.0,4.333014993022847e-08,4.333014993022847e-08
179.5,4.567837813072354e-08,4.567837813072354e-08
180.0,4.814990442063713e-08,4.814990442063713e-08
180.5,5.075098245590741e-08,5.075098245590741e-08
181.0,5.348817115167519e-08,5.348817115167519e-08
181.5,5.636834895598722e-08,5.636834895598722e-08
182.0,5.9398728758976653e-08,5.9398728758976653e-08
182.5,6.258687346424009e-08,6.258687346424009e-08
183.0,6.594071225017651e-08,6.594071225017651e-08
183.5,6.946855755013538e-08,6.946855755013538e-08
184.0,7.317912278135546e-08,7.317912278135546e-08
184.5,7.708154085382876e-08,7.708154085382876e-08
185.0,8.118538349144053e-08,8.118538349144053e-08
185.5,8.550068139897933e-08,8.550068139897933e-08
186.0,9.00379453099058e-08,9.00379453099058e-08
186.5,9.480818795110885e-08,9.480818795110885e-08
187.0,9.982294696225834e-08,9.982294696225834e-08
187.5,1.0509430880880255e-07,1.0509430880880255e-07
188.0,1.1063493372913768e-07,1.1063493372913768e-07
188.5,1.1645808175801215e-07,1.1645808175801215e-07
189.0,1.2257763986981606e-07,1.2257763986981606e-07
189.5,1.2900815028704586e-07,1.2900815028704586e-07
190.0,1.357648400009325e-07,1.357648400009325e-07
190.5,1.428636515529769e-07,1.428636515529769e-07
191.0,1.5032127512794854e-07,1.5032127512794854e-07
191.5,1.5815518201078175e-07,1.5815518201078175e-07
192.0,1.6638365946173581e-07,1.6638365946173581e-07
192.5,1.750258470661967e-07,1.750258470661967e-07
193.0,1.8410177461755737e-07,1.8410177461755737e-07
193.5,1.9363240159375866e-07,1.9363240159375866e-07
194.0,2.0363965829027818e-07,2.0363965829027818e-07
194.5,2.1414648867463028e-07,2.1414648867463028e-07
195.0,2.2517689502980335e-07,2.2517689502980335e-07
195.5,2.3675598445648122e-07,2.3675598445648122e-07
196.0,2.48910017306413e-07,2.48910017306413e-07
196.5,2.6166645762187994e-07,2.6166645762187994e-07
197.0,2.750540256588846e-07,2.750540256588846e-07
197.5,2.891027525744411e-07,2.891027525744411e-07
198.0,3.03844037361189e-07,3.03844037361189e-07
198.5,3.193107061155e-07,3.193107061155e-07
199.0,3.3553707372825476e-07,3.3553707372825476e-07
199.5,3.5255900809059994e-07,3.5255900809059994e-07
200.0,3.704139969102129e-07,3.704139969102129e-07
200.5,3.891412172369134e-07,3.891412172369134e-07
201.0,4.0878160779988645e-07,4.0878160779988645e-07
201.5,4.293779442622948e-07,4.293779442622948e-07
202.0,4.509749175027051e-07,4.509749175027051e-07
202.5,4.736192150364721e-07,4.736192150364721e-07
203.0,4.973596056940963e-07,4.973596056940963e-07
203.5,5.222470276775299e-07,5.222470276775299e-07
204.0,5.483346801194855e-07,5.483346801194855e-07
204.5,5.756781182750246e-07,5.756781182750246e-07
205.0,6.043353524790148e-07,6.043353524790148e-07
205.5,6.343669510075156e-07,6.343669510075156e-07
206.0,6.658361469857315e-07,6.658361469857315e-07
206.5,6.988089494898944e-07,6.988089494898944e-07
207.0,7.333542589952879e-07,7.333542589952879e-07
207.5,7.695439873276069e-07,7.695439873276069e-07
208.0,8.074531822800304e-07,8.074531822800304e-07
208.5,8.471601570635728e-07,8.471601570635728e-07
209.0,8.887466247638187e-07,8.887466247638187e-07
209.5,9.322978379826224e-07,9.322978379826224e-07
210.0,9.77902733849154e-07,9.77902733849154e-07
210.5,1.025654084590539e-06,1.025654084590539e-06
211.0,1.075648653858388e-06,1.075648653858388e-06
211.5,1.1279873590137177e-06,1.1279873590137177e-06
212.0,1.1827754395792008e-06,1.1827754395792008e-06
212.5,1.2401226320741598e-06,1.2401226320741598e-06
213.0,1.3001433514544864e-06,1.3001433514544864e-06
213.5,1.3629568793866213e-06,1.3629568793866213e-06
214.0,1.428687559591683e-06,1.428687559591683e-06
214.5,1.497465000503281e-06,1.497465000503281e-06
215.0,1.5694242854898407e-06,1.5694242854898407e-06
215.5,1.6447061909000486e-06,1.6447061909000486e-06
216.0,1.723457412197773e-06,1.723457412197773e-06
216.5,1.8058307984609287e-06,1.8058307984609287e-06
217.0,1.8919855955269701e-06,1.8919855955269701e-06
217.5,1.9820876980761246e-06,1.9820876980761246e-06
218.0,2.0763099109521837e-06,2.0763099109521837e-06
218.5,2.174832220029514e-06,2.174832220029514e-06
219.0,2.277842072944009e-06,2.277842072944009e-06
219.5,2.385534670015078e-06,2.385534670015078e-06
220.0,2.4981132656951985e-06,2.4981132656951985e-06
220.5,2.6157894808933974e-06,2.6157894808933974e-06
221.0,2.73878362652897e-06,2.73878362652897e-06
221.5,2.8673250386819153e-06,2.8673250386819153e-06
222.0,3.0016524257170923e-06,3.0016524257170923e-06
222.5,3.142014227769747e-06,3.142014227769747e-06
223.0,3.288668988990944e-06,3.288668988990944e-06
223.5,3.4418857429626866e-06,3.4418857429626866e-06
224.0,3.601944411703886e-06,3.601944411703886e-06
224.5,3.7691362187e-06,3.7691362187e-06
225.0,3.943764116401037e-06,3.943764116401037e-06
225.5,4.1261432286449985e-06,4.1261432286449985e-06
226.0,4.316601308475941e-06,4.316601308475941e-06
226.5,4.515479211838872e-06,4.515479211838872e-06
227.0,4.72313138764638e-06,4.72313138764638e-06
227.5,4.939926384725351e-06,4.939926384725351e-06
228.0,5.166247376165353e-06,5.166247376165353e-06
228.5,5.40249270160447e-06,5.40249270160447e-06
229.0,5.6490764280017376e-06,5.6490764280017376e-06
229.5,5.906428929460439e-06,5.906428929460439e-06
230.0,6.17499748668038e-06,6.17499748668038e-06
230.5,6.4552469066326796e-06,6.4552469066326796e-06
231.0,6.747660163065349e-06,6.747660163065349e-06
231.5,7.052739058463716e-06,7.052739058463716e-06
232.0,7.3710049081050565e-06,7.3710049081050565e-06
232.5,7.702999246863278e-06,7.702999246863278e-06
233.0,8.049284559435293e-06,8.049284559435293e-06
233.5,8.410445034677529e-06,8.410445034677529e-06
234.0,8.787087344757872e-06,8.787087344757872e-06
234.5,9.179841449845433e-06,9.179841449845433e-06
235.0,9.589361429077758e-06,9.589361429077758e-06
235.5,1.0016326338563123e-05,1.0016326338563123e-05
236.0,1.046144109719331e-05,1.046144109719331e-05
236.5,1.0925437401060451e-05,1.0925437401060451e-05
237.0,1.1409074667290295e-05,1.1409074667290295e-05
237.5,1.1913141008122973e-05,1.1913141008122973e-05
238.0,1.2438454236091185e-05,1.2438454236091185e-05
238.5,1.2985862901165639e-05,1.2985862901165639e-05
239.0,1.355624736075656e-05,1.355624736075656e-05
239.5,1.415052088348052e-05,1.415052088348052e-05
240.0,1.4769630787621882e-05,1.4769630787621882e-05
240.5,1.5414559615238245e-05,1.5414559615238245e-05
241.0,1.6086326342880512e-05,1.6086326342880512e-05
241.5,1.6785987629918917e-05,1.6785987629918917e-05
242.0,1.751463910548722e-05,1.751463910548722e-05
242.5,1.8273416695079544e-05,1.8273416695079544e-05
243.0,1.9063497987854797e-05,1.9063497987854797e-05
243.5,1.9886103645727315e-05,1.9886103645727315e-05
244.0,2.074249885534209e-05,2.074249885534209e-05
244.5,2.1633994824058005e-05,2.1633994824058005e-05
245.0,2.256195032108293e-05,2.256195032108293e-05
245.5,2.3527773264928136e-05,2.3527773264928136e-05
246.0,2.4532922358373135e-05,2.4532922358373135e-05
246.5,2.5578908772153868e-05,2.5578908772153868e-05
247.0,2.6667297878611413e-05,2.6667297878611413e-05
247.5,2.7799711036561775e-05,2.7799711036561775e-05
248.0,2.89778274286711e-05,2.89778274286711e-05
248.5,3.0203385952643406e-05,3.0203385952643406e-05
249.0,3.14781871675544e-05,3.14781871675544e-05
249.5,3.280409529668519e-05,3.280409529668519e-05
250.0,3.418304028823823e-05,3.418304028823823e-05
250.5,3.561701993533857e-05,3.561701993533857e-05
251.0,3.71081020567496e-05,3.71081020567496e-05
251.5,3.8658426739756726e-05,3.8658426739756726e-05
252.0,4.0270208646696565e-05,4.0270208646696565e-05
252.5,4.1945739386634105e-05,4.1945739386634105e-05
253.0,4.3687389953714044e-05,4.3687389953714044e-05
253.5,4.549761323373851e-05,4.549761323373851e-05
254.0,4.737894658054598e-05,4.737894658054598e-05
254.5,4.9334014463792454e-05,4.9334014463792454e-05
255.0,5.136553118975947e-05,5.136553118975947e-05
255.5,5.347630369683733e-05,5.347630369683733e-05
256.0,5.566923442735798e-05,5.566923442735798e-05
256.5,5.794732427747354e-05,5.794732427747354e-05
257.0,6.0313675626803015e-05,6.0313675626803015e-05
257.5,6.277149544959147e-05,6.277149544959147e-05
258.0,6.532409850915107e-05,6.532409850915107e-05
258.5,6.797491063737568e-05,6.797491063737568e-05
